"filename", "language", "XML", "JavaScript", "CSS", "HTML", "JSON", "comment", "blank", "total"
"/Users/gabrieldrozdov/Documents/GitHub/web-programming-workshop/cm/src/display/scroll_events.js", "JavaScript", 0, 88, 0, 0, 0, 34, 11, 133
"/Users/gabrieldrozdov/Documents/GitHub/web-programming-workshop/cm/src/display/scrollbars.js", "JavaScript", 0, 156, 0, 0, 0, 14, 25, 195
"/Users/gabrieldrozdov/Documents/GitHub/web-programming-workshop/cm/src/display/scrolling.js", "JavaScript", 0, 143, 0, 0, 0, 26, 18, 187
"/Users/gabrieldrozdov/Documents/GitHub/web-programming-workshop/cm/src/display/selection.js", "JavaScript", 0, 151, 0, 0, 0, 4, 19, 174
"/Users/gabrieldrozdov/Documents/GitHub/web-programming-workshop/cm/src/display/update_display.js", "JavaScript", 0, 212, 0, 0, 0, 25, 31, 268
"/Users/gabrieldrozdov/Documents/GitHub/web-programming-workshop/cm/src/display/update_line.js", "JavaScript", 0, 163, 0, 0, 0, 13, 14, 190
"/Users/gabrieldrozdov/Documents/GitHub/web-programming-workshop/cm/src/display/update_lines.js", "JavaScript", 0, 67, 0, 0, 0, 11, 5, 83
"/Users/gabrieldrozdov/Documents/GitHub/web-programming-workshop/cm/src/display/view_tracking.js", "JavaScript", 0, 129, 0, 0, 0, 13, 12, 154
"/Users/gabrieldrozdov/Documents/GitHub/web-programming-workshop/cm/src/edit/CodeMirror.js", "JavaScript", 0, 175, 0, 0, 0, 19, 24, 218
"/Users/gabrieldrozdov/Documents/GitHub/web-programming-workshop/cm/src/edit/commands.js", "JavaScript", 0, 166, 0, 0, 0, 9, 4, 179
"/Users/gabrieldrozdov/Documents/GitHub/web-programming-workshop/cm/src/edit/deleteNearSelection.js", "JavaScript", 0, 24, 0, 0, 0, 5, 2, 31
"/Users/gabrieldrozdov/Documents/GitHub/web-programming-workshop/cm/src/edit/drop_events.js", "JavaScript", 0, 114, 0, 0, 0, 9, 8, 131
"/Users/gabrieldrozdov/Documents/GitHub/web-programming-workshop/cm/src/edit/fromTextArea.js", "JavaScript", 0, 53, 0, 0, 0, 3, 6, 62
"/Users/gabrieldrozdov/Documents/GitHub/web-programming-workshop/cm/src/edit/global_events.js", "JavaScript", 0, 35, 0, 0, 0, 7, 4, 46
"/Users/gabrieldrozdov/Documents/GitHub/web-programming-workshop/cm/src/edit/key_events.js", "JavaScript", 0, 130, 0, 0, 0, 14, 20, 164
"/Users/gabrieldrozdov/Documents/GitHub/web-programming-workshop/cm/src/edit/legacy.js", "JavaScript", 0, 60, 0, 0, 0, 0, 3, 63
"/Users/gabrieldrozdov/Documents/GitHub/web-programming-workshop/cm/src/edit/main.js", "JavaScript", 0, 37, 0, 0, 0, 9, 24, 70
"/Users/gabrieldrozdov/Documents/GitHub/web-programming-workshop/cm/src/edit/methods.js", "JavaScript", 0, 482, 0, 0, 0, 23, 51, 556
"/Users/gabrieldrozdov/Documents/GitHub/web-programming-workshop/cm/src/edit/mouse_events.js", "JavaScript", 0, 345, 0, 0, 0, 31, 42, 418
"/Users/gabrieldrozdov/Documents/GitHub/web-programming-workshop/cm/src/edit/options.js", "JavaScript", 0, 171, 0, 0, 0, 3, 21, 195
"/Users/gabrieldrozdov/Documents/GitHub/web-programming-workshop/cm/src/edit/utils.js", "JavaScript", 0, 6, 0, 0, 0, 0, 2, 8
"/Users/gabrieldrozdov/Documents/GitHub/web-programming-workshop/cm/src/input/ContentEditableInput.js", "JavaScript", 0, 478, 0, 0, 0, 13, 56, 547
"/Users/gabrieldrozdov/Documents/GitHub/web-programming-workshop/cm/src/input/TextareaInput.js", "JavaScript", 0, 286, 0, 0, 0, 48, 47, 381
"/Users/gabrieldrozdov/Documents/GitHub/web-programming-workshop/cm/src/input/indent.js", "JavaScript", 0, 58, 0, 0, 0, 9, 5, 72
"/Users/gabrieldrozdov/Documents/GitHub/web-programming-workshop/cm/src/input/input.js", "JavaScript", 0, 110, 0, 0, 0, 11, 14, 135
"/Users/gabrieldrozdov/Documents/GitHub/web-programming-workshop/cm/src/input/keymap.js", "JavaScript", 0, 119, 0, 0, 0, 15, 14, 148
"/Users/gabrieldrozdov/Documents/GitHub/web-programming-workshop/cm/src/input/keynames.js", "JavaScript", 0, 13, 0, 0, 0, 3, 2, 18
"/Users/gabrieldrozdov/Documents/GitHub/web-programming-workshop/cm/src/input/movement.js", "JavaScript", 0, 85, 0, 0, 0, 14, 13, 112
"/Users/gabrieldrozdov/Documents/GitHub/web-programming-workshop/cm/src/line/highlight.js", "JavaScript", 0, 235, 0, 0, 0, 25, 25, 285
"/Users/gabrieldrozdov/Documents/GitHub/web-programming-workshop/cm/src/line/line_data.js", "JavaScript", 0, 281, 0, 0, 0, 42, 27, 350
"/Users/gabrieldrozdov/Documents/GitHub/web-programming-workshop/cm/src/line/pos.js", "JavaScript", 0, 30, 0, 0, 0, 5, 6, 41
"/Users/gabrieldrozdov/Documents/GitHub/web-programming-workshop/cm/src/line/saw_special_spans.js", "JavaScript", 0, 7, 0, 0, 0, 1, 3, 11
"/Users/gabrieldrozdov/Documents/GitHub/web-programming-workshop/cm/src/line/spans.js", "JavaScript", 0, 308, 0, 0, 0, 53, 30, 391
"/Users/gabrieldrozdov/Documents/GitHub/web-programming-workshop/cm/src/line/utils_line.js", "JavaScript", 0, 68, 0, 0, 0, 10, 8, 86
"/Users/gabrieldrozdov/Documents/GitHub/web-programming-workshop/cm/src/measurement/position_measurement.js", "JavaScript", 0, 527, 0, 0, 0, 119, 57, 703
"/Users/gabrieldrozdov/Documents/GitHub/web-programming-workshop/cm/src/measurement/widgets.js", "JavaScript", 0, 23, 0, 0, 0, 1, 3, 27
"/Users/gabrieldrozdov/Documents/GitHub/web-programming-workshop/cm/src/model/Doc.js", "JavaScript", 0, 393, 0, 0, 0, 9, 35, 437
"/Users/gabrieldrozdov/Documents/GitHub/web-programming-workshop/cm/src/model/change_measurement.js", "JavaScript", 0, 48, 0, 0, 0, 6, 8, 62
"/Users/gabrieldrozdov/Documents/GitHub/web-programming-workshop/cm/src/model/changes.js", "JavaScript", 0, 267, 0, 0, 0, 31, 42, 340
"/Users/gabrieldrozdov/Documents/GitHub/web-programming-workshop/cm/src/model/chunk.js", "JavaScript", 0, 131, 0, 0, 0, 22, 15, 168
"/Users/gabrieldrozdov/Documents/GitHub/web-programming-workshop/cm/src/model/document_data.js", "JavaScript", 0, 92, 0, 0, 0, 10, 11, 113
"/Users/gabrieldrozdov/Documents/GitHub/web-programming-workshop/cm/src/model/history.js", "JavaScript", 0, 171, 0, 0, 0, 38, 20, 229
"/Users/gabrieldrozdov/Documents/GitHub/web-programming-workshop/cm/src/model/line_widget.js", "JavaScript", 0, 71, 0, 0, 0, 1, 7, 79
"/Users/gabrieldrozdov/Documents/GitHub/web-programming-workshop/cm/src/model/mark_text.js", "JavaScript", 0, 234, 0, 0, 0, 34, 26, 294
"/Users/gabrieldrozdov/Documents/GitHub/web-programming-workshop/cm/src/model/selection.js", "JavaScript", 0, 66, 0, 0, 0, 8, 11, 85
"/Users/gabrieldrozdov/Documents/GitHub/web-programming-workshop/cm/src/model/selection_updates.js", "JavaScript", 0, 167, 0, 0, 0, 23, 27, 217
"/Users/gabrieldrozdov/Documents/GitHub/web-programming-workshop/cm/src/modes.js", "JavaScript", 0, 74, 0, 0, 0, 12, 11, 97
"/Users/gabrieldrozdov/Documents/GitHub/web-programming-workshop/cm/src/util/StringStream.js", "JavaScript", 0, 82, 0, 0, 0, 3, 6, 91
"/Users/gabrieldrozdov/Documents/GitHub/web-programming-workshop/cm/src/util/bidi.js", "JavaScript", 0, 139, 0, 0, 0, 57, 20, 216
"/Users/gabrieldrozdov/Documents/GitHub/web-programming-workshop/cm/src/util/browser.js", "JavaScript", 0, 27, 0, 0, 0, 4, 4, 35
"/Users/gabrieldrozdov/Documents/GitHub/web-programming-workshop/cm/src/util/dom.js", "JavaScript", 0, 85, 0, 0, 0, 4, 13, 102
"/Users/gabrieldrozdov/Documents/GitHub/web-programming-workshop/cm/src/util/event.js", "JavaScript", 0, 79, 0, 0, 0, 10, 15, 104
